ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Gender,State,City
1,NA,NA,NA,NA,NA,2,Sichuan,Chengdu
2,Uconn,NA,63,NA,NA,2,NA,NA
3,Uconn,NA,63,NA,NA,1,Guangdong,Shenzhen
4,Uconn,Stats,63,NA,NA,1,Shanghai,Changning
5,UW,NA,59,NA,NA,1,NA,NA
6,NA,NA,NA,NA,NA,1,Shanghai,Putuo
7,NA,Math,NA,NA,NA,1,Canada,Vancouver
8,UofBC,NA,29,NA,NA,1,NewYork,NewYork
9,NA,MFE,NA,NA,NA,2,NA,NA
10,NA,NA,NA,NA,NA,2,Jiangsu,Nanjing
11,NA,NA,NA,NA,NA,2,NewYork,NewYork
12,UIUC,NA,46,NA,NA,1,Georgia,Atlanta
13,NA,NA,NA,NA,NA,1,NewYork,NewYork
14,NA,NA,NA,NA,NA,1,Shanghai,Changning
15,UIUC,Math,46,NA,NA,2,Guangdong,Guangzhou
16,UA,NA,106,NA,NA,2,Canifornia,SantaBarbara
17,UCSB,NA,30,NA,NA,1,Shanghai,Putuo
18,FDU,ME,NA,TRUE,TRUE,2,Zhejiang,Ningbo
19,NA,NA,NA,NA,NA,1,NA,NA
20,CUHK,NA,NA,NA,NA,2,Jiangsu,Suqian
21,NA,NA,NA,NA,NA,2,Zhejiang,Hangzhou
22,SJTU,NA,NA,TRUE,TRUE,2,Beijing,Dongcheng
23,UCSB,NA,30,NA,NA,1,Jiangsu,Wuxi
24,UCSB,NA,30,NA,NA,1,NA,NA
25,NA,NA,NA,NA,NA,1,Zhejiang,Hangzhou
26,NA,NA,NA,NA,NA,2,Beijing,Haidian
27,NA,NA,NA,NA,NA,1,Beijing,Haidian
28,UCI,Econ,33,NA,NA,2,Beijing,Chaoyang
29,Uwaterloo,NA,NA,NA,NA,1,NA,NA
30,NUPT,NA,NA,FALSE,FALSE,2,Shandong,Qingdao
31,UMN,Stats,76,NA,NA,2,NA,NA
32,USTB,NA,NA,TRUE,TRUE,1,NA,NA
33,NA,NA,NA,NA,NA,2,Fujian,Xiamen
